,name_brewery,name_location,social_twitterUrl,social_facebookUrl,social_instagramUrl,social_untappdId,lat,lng,street,city,state,country,tag_dogFriendly,tag_familyFriendly,tag_foodService,tag_foodTrucks,tag_growlerFills,tag_over21
13,Bolt Brewery,Bolt Brewery Little Italy,https://twitter.com/BoltBrewery,https://www.facebook.com/boltbrewery,https://www.instagram.com/boltbrewery/,73589,32.725314,-117.1686635,1971 India Street,San Diego,California,US,False,True,True,False,True,False
14,Bolt Brewery,Bolt Brewery & Spirits,https://twitter.com/BoltBrewery,https://www.facebook.com/boltbrewery,https://www.instagram.com/boltbrewery/,73589,32.75441,-117.0451814,7081 University Avenue,La Mesa,California,US,False,False,True,False,False,True
15,Circle 9 Brewing,Circle 9 Brewing,,https://www.facebook.com/circle9brewing/,https://www.instagram.com/circle9brewing/,330387,32.8257334,-117.1609048,"7292 Opportunity Road, Suite C",San Diego,California,US,True,True,True,True,True,False
16,Quantum Brewing,Quantum Brewing,https://twitter.com/quantumbrewing,https://www.facebook.com/quantumbrewingsd,https://www.instagram.com/quantum_brewing/,138129,32.8310642,-117.1383989,5375 Kearny Villa Rd. #116,San Diego,California,US,True,True,False,False,True,False
17,Deft Brewing,Deft Brewing,https://twitter.com/deftbrewing,https://www.facebook.com/DeftBrewing/,https://www.instagram.com/deftbrewing/,365407,32.7644679,-117.1996691,5238 Banks St,San Diego,California,US,True,True,False,True,True,False
18,San Marcos Brewery & Grill,San Marcos Brewery & Grill,,https://www.facebook.com/SanMarcosBreweryGrill,,1101,33.1344351,-117.1909682,1080 West San Marcos Boulevard,San Marcos,California,US,True,True,True,False,True,False
19,Stone Brewing,Stone Brewing Tap Room - Kettner,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,32.7182291,-117.1694422,1202 Kettner Blvd,San Diego,California,US,True,True,False,False,True,False
20,Stone Brewing,Stone Brewing World Bistro & Gardens - Liberty Station,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,32.7406063,-117.2114812,2816 Historic Decatur Rd #116,San Diego,California,US,True,True,True,False,True,False
21,Stone Brewing,Stone Brewing Tap Room - Oceanside,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,33.1968521,-117.3810415,310 N. Tremont Street,Oceanside,California,US,True,True,False,False,True,False
22,Stone Brewing,Stone Brewing World Bistro & Gardens - Escondido,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,33.1158112,-117.1200116,1999 Citracado Parkway,Escondido,California,US,False,True,True,False,True,False
23,Stone Brewing,Stone Brewing Tap Room - J Street,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,32.7090602,-117.1575701,795 J St,San Diego,California,US,False,True,True,False,True,False
24,Stone Brewing,California State University San Marcos,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,33.1291277,-117.1596548,333 South Twin Oaks Valley Road,San Marcos,California,US,False,False,False,False,False,True
25,Stone Brewing,California State University San Marcos,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,33.1291277,-117.1596548,333 South Twin Oaks Valley Road,San Marcos,California,US,False,False,False,False,False,True
26,Stone Brewing,"California Center for the Arts, Escondido ",https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,33.1227972,-117.0854349,340 N Escondido Blvd,Escondido,California,US,False,False,False,False,False,False
27,Stone Brewing,Stone Brewing Tap Room - San Diego International Airport,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,32.7338006,-117.1933038,"3225 N Harbor Dr, Terminal 2",San Diego,California,US,False,True,True,False,False,False
28,Stone Brewing,Instagram Live,https://twitter.com/StoneBrewing,https://www.facebook.com/StoneBrewing,http://instagram.com/StoneBrewing,1204,33.1158112,-117.1200116,1999 Citracado Parkway,Escondido,California,US,False,False,False,False,False,False
29,Port Brewing Company,"Port Brewing, San Marcos",https://twitter.com/lostabbey,https://www.facebook.com/port.lostabbey,https://www.instagram.com/lostabbey/,1009,33.1416847,-117.1492963,155 Mata Way #104,San Marcos,California,US,False,True,False,True,True,False
30,Port Brewing Company,"Port Brewing, Cardiff Confessional",https://twitter.com/lostabbey,https://www.facebook.com/port.lostabbey,https://www.instagram.com/lostabbey/,1009,33.0221861,-117.282216,2007 San Elijo Ave,Cardiff,California,US,True,True,False,False,True,False
31,Latitude 33 Brewing,Latitude 33 Brewing,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1362843,-117.2244859,1430 Vantage Ct #104,Vista,California,US,True,True,False,True,True,True
32,Latitude 33 Brewing,Hooters Thousand Oaks,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,34.1838881,-118.8758528,"3706, 401 N Moorpark Rd",Thousand Oaks,California,US,False,False,False,False,False,False
33,Latitude 33 Brewing,Public School Culver City,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,34.0242997,-118.3944745,9411 Culver Blvd,Culver City,California,US,False,False,False,False,False,False
34,Latitude 33 Brewing,BevMo! Santa Monica,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,34.0898212,-118.3447671,7100 Santa Monica Blvd #165,West Hollywood,California,US,False,False,False,False,False,False
35,Latitude 33 Brewing,Del Mar Fairgrounds,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.9741712,-117.261487,2260 Jimmy Durante Blvd,Del Mar,California,US,False,False,False,False,False,False
36,Latitude 33 Brewing,Historic Downtown Vista,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.5946776,-117.0480998,Main St.,Vista,California,US,False,False,False,False,False,False
37,Latitude 33 Brewing,Power House Park,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.9616671,-117.2677723,1658 Coast Blvd ,Del Mar,California,US,False,False,False,False,False,False
38,Latitude 33 Brewing,STACKED Mission Valley,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.7680871,-117.1668852,7007 Friars Rd #356,San Diego,California,US,False,False,False,False,False,False
39,Latitude 33 Brewing,JJ's Sports Zone,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,34.3990158,-119.2996158,820 N Ventura Ave,Ventura,California,US,False,False,False,False,False,False
40,Latitude 33 Brewing,Holiday Wine Cellar,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1295714,-117.0899349,302 West Mission Ave,Escondido,California,US,False,False,False,False,False,False
41,Latitude 33 Brewing,LA Taco and Beer Festival,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,34.0832446,-118.3166975,5300 Melrose Ave.,Los Angeles,California,US,False,False,False,False,False,False
42,Latitude 33 Brewing,Craft Kitchen,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.756153,-117.0140988,4253 Palm Ave,La Mesa,California,US,False,False,False,False,False,False
43,Latitude 33 Brewing,The Privateer,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1766722,-117.3629226,1706 S Coast Highway,Oceanside,California,US,False,False,False,False,False,False
44,Latitude 33 Brewing,Eureka!,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.9222636,-118.3272985,12101 S Crenshaw Blvd,Hawthorne,California,US,False,False,False,False,False,False
45,Latitude 33 Brewing,Draft Republic,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.8700999,-117.2148748,4282 Esplanade Ct,San Diego,California,US,False,False,False,False,False,False
46,Latitude 33 Brewing,Pizza Port,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.7479652,-117.250302,1956 Bacon St,San Diego,California,US,False,False,False,False,False,False
47,Latitude 33 Brewing,Los Angeles Zoo,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,34.1490401,-118.2840485,5333 Zoo Dr,Los Angeles,California,US,False,False,False,False,False,False
48,Latitude 33 Brewing,USS Midway Museum,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.7137622,-117.175658,910 N Harbor Dr ,San Diego,California,US,False,False,False,False,False,False
49,Latitude 33 Brewing,Championship Soccer Stadium,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.675648,-117.7338948,8272 Great Park Blvd,Irvine,California,US,False,False,False,False,False,False
50,Latitude 33 Brewing,Del Mar Thoroughbred Club,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.9741712,-117.261487,2260 Jimmy Durante Blvd ,Del Mar,California,US,False,False,False,False,False,False
51,Latitude 33 Brewing, Vista Optimist Club,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1628716,-117.2240238,600 Optimist Way,Vista,California,US,False,False,False,False,False,False
52,Latitude 33 Brewing,Town Center Community Park,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.848857,-116.9787889,East 550 Park Center Drive,Santee,California,US,False,False,False,False,False,False
